,Rail Access Impedances,Rail Access Impedances,Rail Access Impedances,Rail Access Impedances,Rail Access Impedances,Air Access Impedances,Air Access Impedances,Air Access Impedances,Air Access Impedances,Air Access Impedances,Auto Impedances,Auto Impedances,Auto Impedances,Auto Impedances,Auto Impedances,Bus Access Impedances,Bus Access Impedances,Bus Access Impedances,Bus Access Impedances,Bus Access Impedances
0,Zone,Station,ZoneSta,Dist (mile),Time (min),Zone,Station,ZoneSta,Dist (mile),Time (min),ZONE 1,ZONE 2,ZONE PAIR,Dist (mile),CongTT (min),Zone,Station,ZoneSta,Dist (mile),Time (min)
785,,,,,,,,,,,109,131,109131,196.7331187,210.1992963,,,,,
786,,,,,,,,,,,109,132,109132,233.6489106,240.2253502,,,,,
787,,,,,,,,,,,109,133,109133,296.3968038,318.0077298,,,,,
788,,,,,,,,,,,109,134,109134,258.7644345,292.4465265,,,,,
789,,,,,,,,,,,109,135,109135,250.7571496,281.9042645,,,,,
790,,,,,,,,,,,109,136,109136,260.3021252,254.9486067,,,,,
791,,,,,,,,,,,109,137,109137,147.5550387,161.1399745,,,,,
792,,,,,,,,,,,109,138,109138,158.2463891,168.0422604,,,,,
793,,,,,,,,,,,109,139,109139,287.3989721,317.3971918,,,,,
794,,,,,,,,,,,109,140,109140,332.6802777,327.773434,,,,,
795,,,,,,,,,,,109,141,109141,102.1255488,112.0624985,,,,,
796,,,,,,,,,,,109,142,109142,134.7850239,152.0977805,,,,,
797,,,,,,,,,,,109,143,109143,252.6020902,257.9206536,,,,,
798,,,,,,,,,,,109,144,109144,257.9323662,271.5522686,,,,,
799,,,,,,,,,,,109,145,109145,53.20309288,63.12621192,,,,,
800,,,,,,,,,,,109,146,109146,165.5388129,169.8805007,,,,,
801,,,,,,,,,,,109,147,109147,317.8926978,339.8633035,,,,,
802,,,,,,,,,,,109,148,109148,101.5623177,118.5195604,,,,,
803,,,,,,,,,,,109,149,109149,201.4066048,224.9306938,,,,,
804,,,,,,,,,,,109,150,109150,31.22717869,36.04985491,,,,,
805,,,,,,,,,,,109,151,109151,224.6496217,240.7986024,,,,,
806,,,,,,,,,,,109,152,109152,78.19836928,90.56568621,,,,,
807,,,,,,,,,,,109,153,109153,291.772333,288.5334242,,,,,
808,,,,,,,,,,,109,154,109154,317.9063677,315.4281702,,,,,
809,,,,,,,,,,,109,155,109155,154.025887,174.2970125,,,,,
810,,,,,,,,,,,109,156,109156,47.68383688,56.27694381,,,,,
811,,,,,,,,,,,109,157,109157,84.60091048,97.53016153,,,,,
812,,,,,,,,,,,109,158,109158,30.63897929,32.26942261,,,,,
813,,,,,,,,,,,109,159,109159,117.7271614,116.9029672,,,,,
814,,,,,,,,,,,109,160,109160,133.2392525,140.1073491,,,,,
815,,,,,,,,,,,109,161,109161,297.2232216,297.6136369,,,,,
816,,,,,,,,,,,109,162,109162,253.3369831,276.9316272,,,,,
817,,,,,,,,,,,109,163,109163,236.6895824,242.3405492,,,,,
818,,,,,,,,,,,109,164,109164,289.635516,284.3434245,,,,,
819,,,,,,,,,,,109,165,109165,224.553148,221.4758572,,,,,
820,,,,,,,,,,,109,166,109166,285.6064953,303.068131,,,,,
821,,,,,,,,,,,109,167,109167,262.8638679,275.5791232,,,,,
822,,,,,,,,,,,109,168,109168,249.5240819,247.3916521,,,,,
823,,,,,,,,,,,109,169,109169,164.3038095,183.4154795,,,,,
824,,,,,,,,,,,109,170,109170,197.2288427,204.7971453,,,,,
825,,,,,,,,,,,109,171,109171,221.6132134,247.9105147,,,,,
826,,,,,,,,,,,109,172,109172,183.2019721,183.8831979,,,,,
827,,,,,,,,,,,109,173,109173,272.7096915,290.003515,,,,,
828,,,,,,,,,,,109,174,109174,349.1840548,349.9456799,,,,,
829,,,,,,,,,,,109,175,109175,322.9207756,328.1972771,,,,,
830,,,,,,,,,,,109,176,109176,173.1813567,180.7776533,,,,,
831,,,,,,,,,,,109,177,109177,227.6191015,238.7515373,,,,,
832,,,,,,,,,,,109,178,109178,245.0133125,274.1225586,,,,,
833,,,,,,,,,,,109,179,109179,89.6693897,105.1566472,,,,,
834,,,,,,,,,,,109,180,109180,194.5563332,210.3596136,,,,,
835,,,,,,,,,,,109,181,109181,97.77700125,103.1902178,,,,,
836,,,,,,,,,,,109,182,109182,336.1691122,363.0744291,,,,,
837,,,,,,,,,,,109,183,109183,301.6585494,301.2908785,,,,,
838,,,,,,,,,,,109,184,109184,197.0353414,195.2237578,,,,,
839,,,,,,,,,,,109,185,109185,423.8246649,463.4817164,,,,,
840,,,,,,,,,,,109,186,109186,159.7132664,180.2376477,,,,,
841,,,,,,,,,,,109,187,109187,96.22178016,113.4840471,,,,,
842,,,,,,,,,,,109,188,109188,146.1076335,145.5667561,,,,,
843,,,,,,,,,,,109,189,109189,271.0396168,266.1933112,,,,,
844,,,,,,,,,,,109,190,109190,104.6167812,114.6211656,,,,,
845,,,,,,,,,,,109,191,109191,281.3262732,309.9944731,,,,,
846,,,,,,,,,,,109,192,109192,94.10333795,105.7963479,,,,,
847,,,,,,,,,,,109,193,109193,272.7963651,289.1106873,,,,,
848,,,,,,,,,,,109,194,109194,325.7865659,350.4118311,,,,,
849,,,,,,,,,,,109,195,109195,98.40002062,108.2996395,,,,,
850,,,,,,,,,,,109,196,109196,365.8684366,364.6296439,,,,,
851,,,,,,,,,,,109,197,109197,376.005718,376.1725353,,,,,
852,,,,,,,,,,,109,198,109198,210.3916521,211.2513306,,,,,
853,,,,,,,,,,,109,199,109199,174.7071577,172.2946745,,,,,
854,,,,,,,,,,,109,200,109200,190.8175506,214.0058742,,,,,
855,,,,,,,,,,,110,111,110111,229.6313335,257.895484,,,,,
856,,,,,,,,,,,110,112,110112,124.6850912,149.2276876,,,,,
857,,,,,,,,,,,110,113,110113,380.3790367,385.5485443,,,,,
858,,,,,,,,,,,110,114,110114,459.4087227,494.2707197,,,,,
859,,,,,,,,,,,110,115,110115,280.1314124,306.8878807,,,,,
860,,,,,,,,,,,110,116,110116,43.72085824,56.09984407,,,,,
861,,,,,,,,,,,110,117,110117,484.7240625,496.1146522,,,,,
862,,,,,,,,,,,110,118,110118,104.8088932,118.4758899,,,,,
863,,,,,,,,,,,110,119,110119,69.93287616,82.95878378,,,,,
864,,,,,,,,,,,110,120,110120,133.846473,148.209623,,,,,
865,,,,,,,,,,,110,121,110121,473.0131773,478.2433566,,,,,
866,,,,,,,,,,,110,122,110122,93.79138488,105.1401519,,,,,
867,,,,,,,,,,,110,123,110123,273.8959729,284.0392827,,,,,
868,,,,,,,,,,,110,124,110124,482.6285196,483.9792673,,,,,
869,,,,,,,,,,,110,125,110125,353.1243126,362.3252732,,,,,
870,,,,,,,,,,,110,126,110126,264.7429449,295.745456,,,,,
871,,,,,,,,,,,110,127,110127,162.4850997,177.5859125,,,,,
872,,,,,,,,,,,110,128,110128,186.0991778,203.395727,,,,,
873,,,,,,,,,,,110,129,110129,164.5504243,182.3527782,,,,,
874,,,,,,,,,,,110,130,110130,415.0085299,420.8004914,,,,,
875,,,,,,,,,,,110,131,110131,288.4929904,294.9428637,,,,,
876,,,,,,,,,,,110,132,110132,198.0897822,219.3785118,,,,,
877,,,,,,,,,,,110,133,110133,271.1666754,287.1033829,,,,,
878,,,,,,,,,,,110,134,110134,328.8493061,364.6764015,,,,,
879,,,,,,,,,,,110,135,110135,153.7357312,168.6038071,,,,,
880,,,,,,,,,,,110,136,110136,150.7529968,163.1658484,,,,,
881,,,,,,,,,,,110,137,110137,353.3438421,359.5073829,,,,,
882,,,,,,,,,,,110,138,110138,518.9592698,516.7189806,,,,,
883,,,,,,,,,,,110,139,110139,299.8108437,320.4231648,,,,,
884,,,,,,,,,,,110,140,110140,78.54360302,94.75334332,,,,,
885,,,,,,,,,,,110,141,110141,339.3363319,348.7531684,,,,,
886,,,,,,,,,,,110,142,110142,444.9859046,451.7942293,,,,,
887,,,,,,,,,,,110,143,110143,171.6077905,188.3004095,,,,,
888,,,,,,,,,,,110,144,110144,252.2282378,278.798373,,,,,
889,,,,,,,,,,,110,145,110145,443.0409736,451.9134893,,,,,
890,,,,,,,,,,,110,146,110146,263.0980679,278.1622681,,,,,
891,,,,,,,,,,,110,147,110147,604.7135785,639.5754066,,,,,
892,,,,,,,,,,,110,148,110148,463.7651985,468.8352806,,,,,
893,,,,,,,,,,,110,149,110149,366.2934764,387.462124,,,,,
894,,,,,,,,,,,110,150,110150,403.517702,403.711831,,,,,
895,,,,,,,,,,,110,151,110151,324.8304933,332.7321355,,,,,
896,,,,,,,,,,,110,152,110152,441.42525,442.0078064,,,,,
897,,,,,,,,,,,110,153,110153,127.6112046,141.7347001,,,,,
898,,,,,,,,,,,110,154,110154,126.074513,150.6676643,,,,,
899,,,,,,,,,,,110,155,110155,413.5427586,423.8829313,,,,,
900,,,,,,,,,,,110,156,110156,390.2620438,403.8525507,,,,,
901,,,,,,,,,,,110,157,110157,432.0319611,434.4984658,,,,,
902,,,,,,,,,,,110,158,110158,434.04186,440.61808,,,,,
903,,,,,,,,,,,110,159,110159,285.6757193,291.4456902,,,,,
904,,,,,,,,,,,110,160,110160,489.7571332,493.3037351,,,,,
905,,,,,,,,,,,110,161,110161,116.7666591,130.3872062,,,,,
906,,,,,,,,,,,110,162,110162,298.0638976,315.7133073,,,,,
907,,,,,,,,,,,110,163,110163,191.072454,211.5270108,,,,,
908,,,,,,,,,,,110,164,110164,114.7153647,127.52487,,,,,
909,,,,,,,,,,,110,165,110165,187.9470196,200.5571969,,,,,
910,,,,,,,,,,,110,166,110166,589.609376,620.4101436,,,,,
911,,,,,,,,,,,110,167,110167,218.3547395,239.0347449,,,,,
912,,,,,,,,,,,110,168,110168,162.5459535,187.2832632,,,,,
913,,,,,,,,,,,110,169,110169,388.0906811,398.2704697,,,,,
914,,,,,,,,,,,110,170,110170,557.9417234,553.4738655,,,,,
915,,,,,,,,,,,110,171,110171,486.377085,503.2681335,,,,,
916,,,,,,,,,,,110,172,110172,242.3528437,251.6990309,,,,,
917,,,,,,,,,,,110,173,110173,243.6431893,256.4665566,,,,,
918,,,,,,,,,,,110,174,110174,59.61282595,70.36129749,,,,,
919,,,,,,,,,,,110,175,110175,84.5511051,98.92668598,,,,,
920,,,,,,,,,,,110,176,110176,303.9285241,318.6921355,,,,,
921,,,,,,,,,,,110,177,110177,226.1247792,250.4158886,,,,,
922,,,,,,,,,,,110,178,110178,357.9821841,368.6800659,,,,,
923,,,,,,,,,,,110,179,110179,385.576491,401.0875473,,,,,
924,,,,,,,,,,,110,180,110180,226.8635476,242.9057066,,,,,
925,,,,,,,,,,,110,181,110181,457.097882,460.2363837,,,,,
926,,,,,,,,,,,110,182,110182,322.9749838,341.8454421,,,,,
927,,,,,,,,,,,110,183,110183,101.9623313,118.5213788,,,,,
928,,,,,,,,,,,110,184,110184,212.6775393,228.4653052,,,,,
929,,,,,,,,,,,110,185,110185,410.6305365,442.2527295,,,,,
930,,,,,,,,,,,110,186,110186,351.720138,364.6320951,,,,,
931,,,,,,,,,,,110,187,110187,409.9110914,411.3051535,,,,,
932,,,,,,,,,,,110,188,110188,264.2025051,272.9125463,,,,,
933,,,,,,,,,,,110,189,110189,148.5752639,167.1132119,,,,,
934,,,,,,,,,,,110,190,110190,373.8770995,384.2811918,,,,,
935,,,,,,,,,,,110,191,110191,310.8271448,332.0275061,,,,,
936,,,,,,,,,,,110,192,110192,339.5755428,348.592818,,,,,
937,,,,,,,,,,,110,193,110193,225.9055157,239.0822558,,,,,
938,,,,,,,,,,,110,194,110194,289.8754376,319.103467,,,,,
939,,,,,,,,,,,110,195,110195,475.491851,484.8133983,,,,,
940,,,,,,,,,,,110,196,110196,41.72044407,50.77038009,,,,,
941,,,,,,,,,,,110,197,110197,33.79916272,41.70498203,,,,,
942,,,,,,,,,,,110,198,110198,205.7302286,225.4930753,,,,,
943,,,,,,,,,,,110,199,110199,229.821723,241.4344943,,,,,
944,,,,,,,,,,,110,200,110200,339.5604222,350.3504816,,,,,
945,,,,,,,,,,,111,112,111112,105.9856724,124.8253527,,,,,
946,,,,,,,,,,,111,113,111113,179.6947032,182.8137717,,,,,
947,,,,,,,,,,,111,114,111114,266.0716961,294.9771181,,,,,
948,,,,,,,,,,,111,115,111115,99.38007888,119.898071,,,,,
949,,,,,,,,,,,111,116,111116,209.9284394,236.3662977,,,,,
950,,,,,,,,,,,111,117,111117,284.039729,293.3798796,,,,,
951,,,,,,,,,,,111,118,111118,128.5674403,149.4656684,,,,,
952,,,,,,,,,,,111,119,111119,162.5064574,193.7308688,,,,,
953,,,,,,,,,,,111,120,111120,95.64686055,110.968681,,,,,
954,,,,,,,,,,,111,121,111121,272.3288438,275.508584,,,,,
955,,,,,,,,,,,111,122,111122,160.4939486,174.4181892,,,,,
956,,,,,,,,,,,111,123,111123,30.07763935,35.49346722,,,,,
957,,,,,,,,,,,111,124,111124,281.9441861,281.2444947,,,,,
958,,,,,,,,,,,111,125,111125,152.4399791,159.5905006,,,,,
959,,,,,,,,,,,111,126,111126,58.70461138,72.49927865,,,,,
960,,,,,,,,,,,111,127,111127,78.73023384,91.60504296,,,,,
961,,,,,,,,,,,111,128,111128,63.157241,71.61377937,,,,,
962,,,,,,,,,,,111,129,111129,73.3099945,83.08352821,,,,,
963,,,,,,,,,,,111,130,111130,214.3241963,218.0657188,,,,,
964,,,,,,,,,,,111,131,111131,61.70665684,69.00497679,,,,,
965,,,,,,,,,,,111,132,111132,36.17944866,40.91036779,,,,,
966,,,,,,,,,,,111,133,111133,106.1143419,123.4857702,,,,,
967,,,,,,,,,,,111,134,111134,136.5479726,155.6720441,,,,,
968,,,,,,,,,,,111,135,111135,131.3313123,151.3325093,,,,,
969,,,,,,,,,,,111,136,111136,92.39857802,108.0617506,,,,,
970,,,,,,,,,,,111,137,111137,152.6595085,156.7726102,,,,,
971,,,,,,,,,,,111,138,111138,318.2749363,313.984208,,,,,
972,,,,,,,,,,,111,139,111139,115.5085102,132.1187722,,,,,
973,,,,,,,,,,,111,140,111140,164.7767305,180.8865779,,,,,
974,,,,,,,,,,,111,141,111141,138.6519984,146.0183958,,,,,
975,,,,,,,,,,,111,142,111142,244.3015711,249.0594567,,,,,
976,,,,,,,,,,,111,143,111143,101.928543,118.4432031,,,,,
977,,,,,,,,,,,111,144,111144,67.64990431,77.03030901,,,,,
978,,,,,,,,,,,111,145,111145,242.3566401,249.1787167,,,,,
979,,,,,,,,,,,111,146,111146,60.13235094,64.35662113,,,,,
980,,,,,,,,,,,111,147,111147,404.029245,436.840634,,,,,
981,,,,,,,,,,,111,148,111148,263.0808649,266.100508,,,,,
982,,,,,,,,,,,111,149,111149,143.5951428,164.1729848,,,,,
983,,,,,,,,,,,111,150,111150,202.8333685,200.9770584,,,,,
984,,,,,,,,,,,111,151,111151,98.04415975,106.7942486,,,,,
985,,,,,,,,,,,111,152,111152,240.7409165,239.2730338,,,,,
986,,,,,,,,,,,111,153,111153,123.8687858,141.646568,,,,,
987,,,,,,,,,,,111,154,111154,150.0028205,168.541314,,,,,
988,,,,,,,,,,,111,155,111155,212.858425,221.1481587,,,,,
989,,,,,,,,,,,111,156,111156,189.5777103,201.1177781,,,,,
990,,,,,,,,,,,111,157,111157,231.3476276,231.7636932,,,,,
991,,,,,,,,,,,111,158,111158,233.3575265,237.8833074,,,,,
992,,,,,,,,,,,111,159,111159,84.99138582,88.71091759,,,,,
993,,,,,,,,,,,111,160,111160,289.0727997,290.5689625,,,,,
994,,,,,,,,,,,111,161,111161,115.8866744,134.2487493,,,,,
995,,,,,,,,,,,111,162,111162,102.0455641,118.4235081,,,,,
996,,,,,,,,,,,111,163,111163,43.0620352,51.32194446,,,,,
997,,,,,,,,,,,111,164,111164,121.7319688,137.4565683,,,,,
998,,,,,,,,,,,111,165,111165,65.26760079,77.55167816,,,,,
999,,,,,,,,,,,111,166,111166,388.9250425,417.675371,,,,,
1000,,,,,,,,,,,111,167,111167,65.39440597,76.26414083,,,,,
1001,,,,,,,,,,,111,168,111168,76.74653465,90.07003873,,,,,
1002,,,,,,,,,,,111,169,111169,187.4063476,195.5356971,,,,,
1003,,,,,,,,,,,111,170,111170,357.2573899,350.7390929,,,,,
1004,,,,,,,,,,,111,171,111171,285.6927514,300.5333609,,,,,
1005,,,,,,,,,,,111,172,111172,19.51657512,21.7306869,,,,,
1006,,,,,,,,,,,111,173,111173,82.42722956,95.48155547,,,,,
1007,,,,,,,,,,,111,174,111174,181.2805076,203.0588237,,,,,
1008,,,,,,,,,,,111,175,111175,151.1172284,168.3308981,,,,,
1009,,,,,,,,,,,111,176,111176,77.14219053,92.75424864,,,,,
1010,,,,,,,,,,,111,177,111177,41.54644571,48.64782455,,,,,
1011,,,,,,,,,,,111,178,111178,131.1958506,142.7421791,,,,,
1012,,,,,,,,,,,111,179,111179,184.8921575,198.3527747,,,,,
1013,,,,,,,,,,,111,180,111180,108.8248713,122.8565027,,,,,
1014,,,,,,,,,,,111,181,111181,256.4135485,257.5016111,,,,,
1015,,,,,,,,,,,111,182,111182,150.9086502,168.6149295,,,,,
1016,,,,,,,,,,,111,183,111183,133.7550022,154.4040224,,,,,
1017,,,,,,,,,,,111,184,111184,38.57779423,51.54908641,,,,,
1018,,,,,,,,,,,111,185,111185,238.564203,269.0222169,,,,,
1019,,,,,,,,,,,111,186,111186,123.3828044,142.6260787,,,,,
1020,,,,,,,,,,,111,187,111187,209.2267579,208.5703809,,,,,
1021,,,,,,,,,,,111,188,111188,63.51817161,70.17777366,,,,,
1022,,,,,,,,,,,111,189,111189,88.18106963,102.9840178,,,,,
1023,,,,,,,,,,,111,190,111190,173.192766,181.5464192,,,,,
1024,,,,,,,,,,,111,191,111191,114.8088113,134.7377068,,,,,
1025,,,,,,,,,,,111,192,111192,138.8912092,145.8580454,,,,,
1026,,,,,,,,,,,111,193,111193,82.51390316,94.58872774,,,,,
1027,,,,,,,,,,,111,194,111194,135.504104,155.8898715,,,,,
1028,,,,,,,,,,,111,195,111195,274.8075175,282.0786257,,,,,
1029,,,,,,,,,,,111,196,111196,192.0968894,214.1764706,,,,,
1030,,,,,,,,,,,111,197,111197,208.1021708,229.2856791,,,,,
1031,,,,,,,,,,,111,198,111198,43.88380984,52.44877181,,,,,
1032,,,,,,,,,,,111,199,111199,52.05738949,56.10093596,,,,,
1033,,,,,,,,,,,111,200,111200,112.7740887,124.4125947,,,,,
1034,,,,,,,,,,,112,113,112113,258.9339455,255.2610367,,,,,
1035,,,,,,,,,,,112,114,112114,371.4129384,390.6274974,,,,,
1036,,,,,,,,,,,112,115,112115,158.6863212,176.6003731,,,,,
1037,,,,,,,,,,,112,116,112116,107.6277671,126.5470365,,,,,
1038,,,,,,,,,,,112,117,112117,363.2789713,365.8271446,,,,,
1039,,,,,,,,,,,112,118,112118,29.73723206,33.27194427,,,,,
1040,,,,,,,,,,,112,119,112119,59.11021502,72.59962382,,,,,
1041,,,,,,,,,,,112,120,112120,41.10681182,43.52883636,,,,,
1042,,,,,,,,,,,112,121,112121,351.5680861,347.955849,,,,,
1043,,,,,,,,,,,112,122,112122,64.38627626,75.84463659,,,,,
1044,,,,,,,,,,,112,123,112123,152.4508817,153.7517751,,,,,
1045,,,,,,,,,,,112,124,112124,361.1834284,353.6917597,,,,,
1046,,,,,,,,,,,112,125,112125,231.6792214,232.0377656,,,,,
1047,,,,,,,,,,,112,126,112126,159.4222838,178.9856113,,,,,
1048,,,,,,,,,,,112,127,112127,72.03443853,75.43996588,,,,,
1049,,,,,,,,,,,112,128,112128,95.64851666,101.2497804,,,,,
1050,,,,,,,,,,,112,129,112129,63.21376316,70.67731155,,,,,
1051,,,,,,,,,,,112,130,112130,293.5634387,290.5129838,,,,,
1052,,,,,,,,,,,112,131,112131,167.0478992,164.6553561,,,,,
1053,,,,,,,,,,,112,132,112132,92.76912104,102.6186671,,,,,
1054,,,,,,,,,,,112,133,112133,180.7160142,184.9574362,,,,,
1055,,,,,,,,,,,112,134,112134,223.528645,247.9165568,,,,,
1056,,,,,,,,,,,112,135,112135,68.70463997,77.35519095,,,,,
1057,,,,,,,,,,,112,136,112136,29.30790565,32.87834077,,,,,
1058,,,,,,,,,,,112,137,112137,231.8987509,229.2198753,,,,,
1059,,,,,,,,,,,112,138,112138,397.5141786,386.431473,,,,,
1060,,,,,,,,,,,112,139,112139,194.7661826,217.1269915,,,,,
1061,,,,,,,,,,,112,140,112140,62.47605812,71.06731663,,,,,
1062,,,,,,,,,,,112,141,112141,217.8912407,218.4656608,,,,,
1063,,,,,,,,,,,112,142,112142,323.5408134,321.5067217,,,,,
1064,,,,,,,,,,,112,143,112143,65.57769929,70.2470362,,,,,
1065,,,,,,,,,,,112,144,112144,146.9075767,162.0385283,,,,,
1066,,,,,,,,,,,112,145,112145,321.5958824,321.6259817,,,,,
1067,,,,,,,,,,,112,146,112146,141.6529767,147.8747605,,,,,
1068,,,,,,,,,,,112,147,112147,483.2684873,509.287899,,,,,
1069,,,,,,,,,,,112,148,112148,342.3201073,338.547773,,,,,
1070,,,,,,,,,,,112,149,112149,244.8483852,257.1746164,,,,,
1071,,,,,,,,,,,112,150,112150,282.0726108,273.4243234,,,,,
1072,,,,,,,,,,,112,151,112151,203.3854021,202.4446279,,,,,
1073,,,,,,,,,,,112,152,112152,319.9801588,311.7202988,,,,,
1074,,,,,,,,,,,112,153,112153,48.81111338,51.79016109,,,,,
1075,,,,,,,,,,,112,154,112154,74.94514816,78.6849071,,,,,
1076,,,,,,,,,,,112,155,112155,292.0976674,293.5954237,,,,,
1077,,,,,,,,,,,112,156,112156,268.8169527,273.5650431,,,,,
1078,,,,,,,,,,,112,157,112157,310.58687,304.2109582,,,,,
1079,,,,,,,,,,,112,158,112158,312.5967688,310.3305724,,,,,
1080,,,,,,,,,,,112,159,112159,164.2306282,161.1581826,,,,,
1081,,,,,,,,,,,112,160,112160,368.312042,363.0162275,,,,,
1082,,,,,,,,,,,112,161,112161,28.41043206,33.57803761,,,,,
1083,,,,,,,,,,,112,162,112162,186.9752364,206.690234,,,,,
1084,,,,,,,,,,,112,163,112163,65.49163717,76.10257486,,,,,
1085,,,,,,,,,,,112,164,112164,37.92929646,41.23456995,,,,,
1086,,,,,,,,,,,112,165,112165,66.50192841,70.26968931,,,,,
1087,,,,,,,,,,,112,166,112166,468.1642848,490.122636,,,,,
1088,,,,,,,,,,,112,167,112167,127.9040783,136.8887982,,,,,
1089,,,,,,,,,,,112,168,112168,35.42729232,42.21452325,,,,,
1090,,,,,,,,,,,112,169,112169,266.6455899,267.9829621,,,,,
1091,,,,,,,,,,,112,170,112170,436.4966322,423.1863579,,,,,
1092,,,,,,,,,,,112,171,112171,364.9319938,372.9806259,,,,,
1093,,,,,,,,,,,112,172,112172,120.9077525,121.4115233,,,,,
1094,,,,,,,,,,,112,173,112173,153.1925281,154.32061,,,,,
1095,,,,,,,,,,,112,174,112174,77.8521648,93.22103754,,,,,
1096,,,,,,,,,,,112,175,112175,45.47898608,54.48738163,,,,,
1097,,,,,,,,,,,112,176,112176,182.4834329,188.4046279,,,,,
1098,,,,,,,,,,,112,177,112177,120.8041181,133.6560439,,,,,
1099,,,,,,,,,,,112,178,112178,236.537093,238.3925583,,,,,
1100,,,,,,,,,,,112,179,112179,264.1313998,270.8000397,,,,,
1101,,,,,,,,,,,112,180,112180,105.4184564,112.618199,,,,,
1102,,,,,,,,,,,112,181,112181,335.6527908,329.9488761,,,,,
1103,,,,,,,,,,,112,182,112182,232.5243226,239.6994955,,,,,
1104,,,,,,,,,,,112,183,112183,31.80067013,37.85188457,,,,,
1105,,,,,,,,,,,112,184,112184,91.23244811,98.17779764,,,,,
1106,,,,,,,,,,,112,185,112185,320.1798753,340.1067829,,,,,
1107,,,,,,,,,,,112,186,112186,230.2750468,234.3445875,,,,,
1108,,,,,,,,,,,112,187,112187,288.4660003,281.0176459,,,,,
1109,,,,,,,,,,,112,188,112188,142.757414,142.6250387,,,,,
1110,,,,,,,,,,,112,189,112189,34.75682729,38.3920776,,,,,
1111,,,,,,,,,,,112,190,112190,252.4320083,253.9936842,,,,,
1112,,,,,,,,,,,112,191,112191,199.7384836,223.0044328,,,,,
1113,,,,,,,,,,,112,192,112192,218.1304516,218.3053104,,,,,
1114,,,,,,,,,,,112,193,112193,135.4548545,136.9363092,,,,,
1115,,,,,,,,,,,112,194,112194,199.4247764,216.9575203,,,,,
1116,,,,,,,,,,,112,195,112195,354.0467598,354.5258907,,,,,
1117,,,,,,,,,,,112,196,112196,87.15064711,105.5086742,,,,,
1118,,,,,,,,,,,112,197,112197,98.77592847,117.4350256,,,,,
1119,,,,,,,,,,,112,198,112198,76.2165675,88.85662681,,,,,
1120,,,,,,,,,,,112,199,112199,108.3766318,111.1469867,,,,,
1121,,,,,,,,,,,112,200,112200,218.115331,220.062974,,,,,
1122,,,,,,,,,,,113,114,113114,356.865314,403.5573846,,,,,
1123,,,,,,,,,,,113,115,113115,108.6906243,118.2085064,,,,,
1124,,,,,,,,,,,113,116,113116,354.8081426,360.4530408,,,,,
1125,,,,,,,,,,,113,117,113117,128.4130258,151.5003851,,,,,
1126,,,,,,,,,,,113,118,113118,284.1551776,284.1817267,,,,,
1127,,,,,,,,,,,113,119,113119,322.5651605,319.9475405,,,,,
1128,,,,,,,,,,,113,120,113120,262.9715637,258.8783099,,,,,
1129,,,,,,,,,,,113,121,113121,85.42014058,98.01626943,,,,,
1130,,,,,,,,,,,113,122,113122,305.3736518,298.5049323,,,,,
1131,,,,,,,,,,,113,123,113123,171.3342572,178.8861337,,,,,
1132,,,,,,,,,,,113,124,113124,132.2954829,143.0517602,,,,,
1133,,,,,,,,,,,113,125,113125,29.2737241,36.00676819,,,,,
1134,,,,,,,,,,,113,126,113126,207.4292293,223.3143584,,,,,
1135,,,,,,,,,,,113,127,113127,249.333937,259.8235346,,,,,
1136,,,,,,,,,,,113,128,113128,237.6028589,248.1286487,,,,,
1137,,,,,,,,,,,113,129,113129,246.3626124,256.8066575,,,,,
1138,,,,,,,,,,,113,130,113130,35.55049315,39.76242715,,,,,
1139,,,,,,,,,,,113,131,113131,173.7092747,187.3991833,,,,,
1140,,,,,,,,,,,113,132,113132,210.6250666,217.4252371,,,,,
1141,,,,,,,,,,,113,133,113133,273.3729598,295.2076167,,,,,
1142,,,,,,,,,,,113,134,113134,235.7405905,269.6464135,,,,,
1143,,,,,,,,,,,113,135,113135,230.1833056,261.3307514,,,,,
1144,,,,,,,,,,,113,136,113136,237.2782812,232.1484937,,,,,
1145,,,,,,,,,,,113,137,113137,124.5311946,138.3398614,,,,,
1146,,,,,,,,,,,113,138,113138,168.6262331,175.7914735,,,,,
1147,,,,,,,,,,,113,139,113139,264.3751281,294.5970787,,,,,
1148,,,,,,,,,,,113,140,113140,309.6564337,304.9733209,,,,,
1149,,,,,,,,,,,113,141,113141,79.10170481,89.26238542,,,,,
1150,,,,,,,,,,,113,142,113142,128.2578679,147.4170622,,,,,
1151,,,,,,,,,,,113,143,113143,229.5782462,235.1205405,,,,,
1152,,,,,,,,,,,113,144,113144,234.9085222,248.7521555,,,,,
1153,,,,,,,,,,,113,145,113145,63.58293689,70.87542501,,,,,
1154,,,,,,,,,,,113,146,113146,142.5149688,147.0803876,,,,,
1155,,,,,,,,,,,113,147,113147,328.2725418,347.6125166,,,,,
1156,,,,,,,,,,,113,148,113148,111.9421618,126.2687735,,,,,
1157,,,,,,,,,,,113,149,113149,179.5317608,205.1290407,,,,,
1158,,,,,,,,,,,113,150,113150,32.24666532,34.46931818,,,,,
1159,,,,,,,,,,,113,151,113151,201.6257777,217.9984894,,,,,
1160,,,,,,,,,,,113,152,113152,88.57821329,98.3148993,,,,,
1161,,,,,,,,,,,113,153,113153,268.7484889,265.7333111,,,,,
